tsp_func, num_vertes, length, time, dist_type
Twice around the tree, 16, 446.834453013372, 8.324782053629558e-05, euclidian
Twice around the tree, 16, 562, 8.32200050354004e-05, manhattan
Christofides, 16, 394.5559621084901, 0.0007654229799906412, euclidian
Christofides, 16, 444, 0.00013234615325927735, manhattan
Twice around the tree, 32, 579.5985404133809, 0.0002826770146687826, euclidian
Twice around the tree, 32, 646, 0.00024932225545247396, manhattan
Christofides, 32, 489.6508908462439, 0.0019939859708150228, euclidian
Christofides, 32, 632, 0.001678764820098877, manhattan
Twice around the tree, 64, 829.6106763268504, 0.0008143822352091472, euclidian
Twice around the tree, 64, 1052, 0.000747513771057129, manhattan
Christofides, 64, 692.3576810684818, 0.005784595012664795, euclidian
Christofides, 64, 878, 0.005069863796234131, manhattan
Twice around the tree, 128, 1159.51186041331, 0.0029254953066507974, euclidian
Twice around the tree, 128, 1452, 0.003805804252624512, manhattan
Christofides, 128, 1052.155042136941, 0.05581743717193603, euclidian
Christofides, 128, 1276, 0.03668578068415324, manhattan
Twice around the tree, 256, 1663.8412777410667, 0.012549062569936117, euclidian
Twice around the tree, 256, 2070, 0.012682664394378661, manhattan
Christofides, 256, 1343.7410597707537, 0.19393134117126465, euclidian
Christofides, 256, 1676, 0.21658434867858886, manhattan
Twice around the tree, 512, 2229.8956001049164, 0.06008927424748738, euclidian
Twice around the tree, 512, 2828, 0.0747986912727356, manhattan
Christofides, 512, 1846.5982711701324, 1.3558903932571411, euclidian
Christofides, 512, 2344, 1.2024847348531087, manhattan
Twice around the tree, 1024, 3180.7872730395397, 0.2780556917190552, euclidian
Twice around the tree, 1024, 3946, 0.23879461685816447, manhattan
Christofides, 1024, 2617.728073687116, 8.343253020445506, euclidian
Christofides, 1024, 3232, 7.520370332400004, manhattan
