size,algorithm,type,length,time,exceeded
16,BnB,euclidian,377.55707913793816,457.3741216659546,False
16,Twice,euclidian,467.39470057467344,0.0019943714141845703,False
16,Christofides,euclidian,425.247027810306,0.0219411849975586,False
16,BnB,manhattan,462.0,204.79141998291016,False
16,Twice,manhattan,562.0,0.0020101070404052734,False
16,Christofides,manhattan,518.0,0.010981559753417969,False
32,BnB,euclidian,inf,1200.034462928772,True
32,Twice,euclidian,478.13306774310723,0.005015134811401367,False
32,Christofides,euclidian,419.3788807118197,0.04587173461914063,False
32,BnB,manhattan,inf,1200.0113990306854,True
32,Twice,manhattan,604.0,0.004986763000488281,False
32,Christofides,manhattan,530.0,0.03993821144104004,False
64,BnB,euclidian,inf,1200.0453815460205,True
64,Twice,euclidian,731.5500039598276,0.01595926284790039,False
64,Christofides,euclidian,661.4706824891183,0.2485880851745605,False
64,BnB,manhattan,inf,1200.1122319698336,True
64,Twice,manhattan,986.0,0.01696324348449707,False
64,Christofides,manhattan,812.0,0.17448925971984866,False
128,BnB,euclidian,inf,1202.0979700088499,True
128,Twice,euclidian,1147.7031203522365,0.053852081298828125,False
128,Christofides,euclidian,920.6435568809726,1.2157444953918457,False
128,BnB,manhattan,inf,1200.899661064148,True
128,Twice,manhattan,1380.0,0.10571742057800293,False
128,Christofides,manhattan,1148.0,1.0501954555511477,False
256,BnB,euclidian,inf,1228.806539297104,True
256,Twice,euclidian,1500.8366044522345,0.35707688331604004,False
256,Christofides,euclidian,1355.0483134068438,9.11857271194458,False
256,BnB,manhattan,inf,1217.8107900619507,True
256,Twice,manhattan,1970.0,0.2373249530792237,False
256,Christofides,manhattan,1652.0,5.892282247543335,False
512,BnB,euclidian,inf,1315.7568528652193,True
512,Twice,euclidian,2308.843453012257,1.4172539710998535,False
512,Christofides,euclidian,1848.0581262072199,45.34475588798523,False
512,BnB,manhattan,inf,1471.914472579956,True
512,Twice,manhattan,2774.0,1.0951042175292969,False
512,Christofides,manhattan,2320.0,33.381696462631226,False
1024,BnB,euclidian,inf,2585.7931432724,True
1024,Twice,euclidian,3165.2598072562537,5.91119647026062,False
1024,Christofides,euclidian,2591.742629433765,337.43881630897516,False
1024,BnB,manhattan,inf,2394.649047136307,True
1024,Twice,manhattan,3930.0,5.956073760986327,False
1024,Christofides,manhattan,3220.0,309.02078676223755,False
